acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,liked
0.822,0.668,0.44,3.98e-06,0.0901,-10.607,0.0801,1
0.676,0.724,0.304,0,0.104,-11.462,0.23,1
0.125,0.549,0.414,0,0.112,-9.55,0.0556,1
0.354,0.68,0.563,0,0.136,-5.843,0.0454,1
0.0212,0.604,0.894,0,0.0299,-5.0,0.037,1
0.0759,0.391,0.808,0,0.149,-6.209,0.0892,1
0.156,0.429,0.594,4.95e-06,0.1,-6.251,0.0277,1
0.0267,0.708,0.772,0,0.467,-4.264,0.0322,1
0.0145,0.599,0.732,0.000467,0.143,-6.843,0.0262,1
0.157,0.597,0.932,0,0.34,-2.463,0.0411,1
0.623,0.752,0.543,0.0706,0.107,-9.483,0.0398,1
0.36,0.548,0.886,0,0.0747,-3.127,0.207,1
0.679,0.653,0.455,0.00113,0.456,-9.913,0.0435,1
0.642,0.803,0.662,0.901,0.151,-8.073,0.0308,1
0.032,0.557,0.753,6.86e-05,0.0598,-5.052,0.233,1
0.212,0.782,0.544,0.208,0.142,-5.251,0.0348,1
0.142,0.601,0.873,0.288,0.0983,-5.393,0.064,1
0.0027,0.571,0.719,0.000498,0.19,-7.193,0.0305,1
0.174,0.694,0.47,0.000509,0.112,-8.304,0.077,1
0.0532,0.433,0.467,0.000137,0.153,-9.224,0.102,1
0.0659,0.679,0.898,0.00055,0.175,-3.903,0.0438,1
0.317,0.321,0.388,0.0022,0.0888,-9.818,0.0507,1
0.484,0.502,0.586,0.00209,0.509,-8.204,0.0306,1
0.00371,0.708,0.846,0.00053,0.219,-5.357,0.0331,1
0.00179,0.581,0.59,0.922,0.186,-8.655,0.0294,1
0.11,0.555,0.701,0.003,0.199,-7.6,0.0358,1
0.0218,0.464,0.924,0,0.105,-6.022,0.0919,1
0.00902,0.519,0.867,0,0.268,-3.608,0.0402,1
0.00188,0.649,0.824,0.0106,0.596,-6.897,0.0479,1
0.0959,0.648,0.622,0.477,0.126,-6.651,0.0578,1
0.0291,0.453,0.807,0.193,0.0873,-7.277,0.0323,1
0.451,0.656,0.731,2.26e-06,0.0811,-5.315,0.0876,1
0.305,0.607,0.664,4.38e-05,0.134,-7.302,0.054,1
0.531,0.652,0.583,0,0.108,-6.98,0.15,1
0.813,0.519,0.446,0.000124,0.11,-9.287,0.0388,1
0.515,0.529,0.338,9.26e-06,0.124,-8.608,0.035,1
0.00327,0.325,0.903,6.13e-06,0.0962,-3.173,0.117,1
0.655,0.368,0.267,2.24e-05,0.0834,-9.395,0.0428,1
0.0234,0.378,0.925,0.00062,0.18,-3.781,0.185,1
0.579,0.489,0.505,0.000333,0.104,-8.022,0.117,1
0.579,0.733,0.474,0.000272,0.087,-8.024,0.0439,1
0.00531,0.768,0.682,0,0.106,-4.856,0.101,1
0.275,0.809,0.857,0,0.0795,-6.462,0.311,1
0.738,0.653,0.455,0.000321,0.134,-8.909,0.0625,1
0.223,0.609,0.466,0.00934,0.0947,-11.735,0.178,1
0.667,0.67,0.649,0.00013,0.109,-7.426,0.0875,1
0.122,0.775,0.517,0.0142,0.609,-8.186,0.137,1
0.146,0.897,0.666,0.00508,0.0953,-7.324,0.0644,1
0.00932,0.706,0.579,0.0457,0.211,-7.757,0.171,1
0.482,0.56,0.476,0,0.362,-7.772,0.0774,1
0.0152,0.587,0.698,0,0.442,-8.948,0.0943,1
0.12,0.852,0.664,0.00113,0.0737,-5.179,0.123,1
0.433,0.751,0.684,5.92e-06,0.18,-4.325,0.303,1
0.127,0.707,0.648,0,0.0767,-7.801,0.0551,1
0.00151,0.442,0.766,9.01e-06,0.131,-6.061,0.28,1
0.891,0.498,0.502,0.000907,0.0716,-8.052,0.0371,1
0.0204,0.457,0.795,1.34e-06,0.171,-1.775,0.0308,1
0.221,0.697,0.473,0.792,0.0768,-10.9,0.0757,1
0.158,0.698,0.747,0.00982,0.123,-6.193,0.0392,1
0.129,0.648,0.718,0.00156,0.112,-7.765,0.0298,1
0.0861,0.751,0.642,0,0.0953,-5.165,0.087,0
0.0897,0.821,0.674,0,0.0704,-3.053,0.0483,0
0.0514,0.702,0.913,3.71e-06,0.166,-2.977,0.0374,0
0.344,0.587,0.664,2.47e-05,0.324,-8.63,0.0645,0
0.237,0.686,0.842,0,0.0683,-4.423,0.1,0
0.0323,0.671,0.859,0,0.267,-3.922,0.0833,0
0.0599,0.613,0.868,0,0.352,-2.792,0.143,0
0.238,0.629,0.791,0,0.0592,-4.263,0.0402,0
0.0899,0.698,0.908,0,0.115,-1.211,0.0548,0
0.0168,0.645,0.937,0,0.1,-2.772,0.0741,0
0.0142,0.61,0.905,0,0.0592,-3.686,0.0369,0
0.241,0.839,0.617,0,0.3,-4.692,0.331,0
0.0158,0.655,0.821,0,0.131,-4.741,0.187,0
0.0114,0.791,0.789,0,0.301,-4.694,0.104,0
0.0796,0.729,0.926,9.14e-06,0.152,-2.129,0.108,0
0.0725,0.82,0.575,0,0.0569,-4.385,0.0832,0
0.0317,0.781,0.918,1.4e-06,0.227,-4.358,0.125,0
0.522,0.846,0.57,0,0.148,-5.735,0.0743,0
0.0183,0.566,0.769,0,0.108,-4.342,0.0872,0
0.00219,0.709,0.857,0,0.103,-3.394,0.0881,0
0.465,0.76,0.672,0,0.205,-5.277,0.0732,0
0.126,0.627,0.932,0,0.351,-1.891,0.162,0
0.0426,0.6,0.96,0,0.0882,-1.807,0.095,0
0.331,0.806,0.707,0,0.294,-4.623,0.0307,0
0.185,0.625,0.735,0,0.318,-4.358,0.0366,0
0.059,0.709,0.718,0,0.167,-3.315,0.0312,0
0.411,0.74,0.804,0,0.0578,-2.187,0.0546,0
0.115,0.725,0.94,0.00431,0.0864,-2.32,0.0435,0
0.015,0.727,0.888,0,0.113,-2.756,0.0881,0
0.106,0.711,0.861,4.4e-05,0.112,-2.905,0.0924,0
0.191,0.714,0.736,0,0.0553,-3.801,0.0457,0
0.429,0.55,0.681,0,0.105,-4.636,0.0426,0
0.00267,0.557,0.719,0,0.306,-4.515,0.0372,0
0.0846,0.573,0.91,0,0.266,-1.578,0.064,0
0.0688,0.786,0.853,0,0.0759,-2.687,0.0816,0
0.223,0.672,0.805,0,0.329,-4.291,0.0529,0
0.0774,0.732,0.934,0.00745,0.306,-4.618,0.144,0
0.00264,0.658,0.836,1.02e-06,0.507,-3.282,0.0549,0
0.0706,0.75,0.799,0,0.377,-2.788,0.0697,0
0.00427,0.774,0.792,1.15e-06,0.283,-4.019,0.224,0
0.0556,0.722,0.833,0,0.195,-3.915,0.094,0
0.315,0.616,0.833,0,0.175,-3.314,0.067,0
0.0149,0.785,0.744,0.00666,0.0661,-4.249,0.0369,0
0.405,0.745,0.739,0.000183,0.127,-4.591,0.0327,0
0.0868,0.839,0.902,0.00257,0.272,-3.612,0.0536,0
0.0569,0.682,0.831,0,0.0927,-4.234,0.253,0
0.0399,0.707,0.758,0,0.141,-4.511,0.0917,0
0.167,0.765,0.769,0,0.0854,-3.16,0.0595,0
0.00682,0.822,0.712,0,0.0955,-4.877,0.15,0
0.0409,0.709,0.917,0,0.0839,-3.315,0.189,0
0.0485,0.606,0.911,0,0.334,-3.601,0.129,0
0.28,0.724,0.647,0,0.102,-5.642,0.0658,0.4088856724978587
0.153,0.841,0.798,3.33e-06,0.0618,-4.206,0.229,0.5207844201859679
0.0141,0.817,0.539,0.000496,0.099,-6.349,0.0621,0.5844057896929258
0.191,0.687,0.792,0,0.167,-2.749,0.0452,0.5615043831875252
0.297,0.752,0.488,9.11e-06,0.0936,-7.05,0.0705,0.49888102024872266
0.551,0.753,0.498,0,0.0706,-5.61,0.0504,0.5660592819008992
0.00513,0.834,0.73,0,0.124,-3.714,0.222,0.4043931164796793
